dataset,iteration,num_queries,mean_recall,median_recall,stddev_recall,var_recall,min_recall,max_recall,p25_recall,p75_recall,p95_recall,nodes_count,unreachable_count,orphaned_count
fashion_mnist,43,99,0.69555557,0.99,0.43307737,0.18755601,0.0,1.0,0.08,0.99,1.0,60000,719,0
fashion_mnist,44,99,0.6967677,0.98,0.42988566,0.18480168,0.0,1.0,0.09,0.99,1.0,60000,723,0
fashion_mnist,45,99,0.76434344,0.99,0.39245707,0.15402254,0.01,1.0,0.8675,1.0,1.0,60000,728,0
fashion_mnist,46,99,0.8981818,0.99,0.25768733,0.066402756,0.04,1.0,0.97,1.0,1.0,60000,741,0
fashion_mnist,47,99,0.93525255,0.99,0.19477178,0.037936047,0.07,1.0,0.98,1.0,1.0,60000,745,0
fashion_mnist,48,99,0.9780808,0.99,0.035267428,0.0012437914,0.79,1.0,0.98,1.0,1.0,60000,746,0
fashion_mnist,49,99,0.9769697,0.99,0.036026213,0.001297888,0.79,1.0,0.98,1.0,1.0,60000,756,0
fashion_mnist,50,99,0.9773737,0.99,0.03543627,0.0012557291,0.79,1.0,0.98,1.0,1.0,60000,760,0
fashion_mnist,51,100,0.9777,0.99,0.035604917,0.0012677101,0.79,1.0,0.98,1.0,1.0,60000,770,0
fashion_mnist,52,99,0.9770707,0.99,0.037665527,0.0014186921,0.75,1.0,0.98,1.0,1.0,60000,772,0
fashion_mnist,53,99,0.97868687,0.99,0.034337793,0.0011790838,0.75,1.0,0.98,1.0,1.0,60000,775,0
fashion_mnist,54,99,0.9790909,0.99,0.03333609,0.001111295,0.77,1.0,0.98,1.0,1.0,60000,777,0
fashion_mnist,55,99,0.9789899,0.99,0.03273694,0.0010717072,0.78,1.0,0.98,1.0,1.0,60000,782,0
fashion_mnist,56,99,0.97888887,0.99,0.03265643,0.0010664423,0.78,1.0,0.98,1.0,1.0,60000,786,0
fashion_mnist,57,99,0.97858584,0.99,0.033181783,0.0011010307,0.78,1.0,0.98,1.0,1.0,60000,789,0
fashion_mnist,58,99,0.97848487,0.99,0.03470987,0.0012047752,0.76,1.0,0.98,1.0,1.0,60000,800,0
fashion_mnist,59,100,0.97830003,0.99,0.035271946,0.0012441102,0.76,1.0,0.98,1.0,1.0,60000,798,0
fashion_mnist,60,100,0.9781,0.99,0.035935916,0.0012913902,0.76,1.0,0.98,1.0,1.0,60000,809,0
fashion_mnist,61,80,0.98,0.99,0.033279125,0.0011075003,0.77,1.0,0.98,1.0,1.0,60000,817,0
fashion_mnist,62,80,0.97975004,0.99,0.033014204,0.0010899378,0.77,1.0,0.98,1.0,1.0,60000,813,0
fashion_mnist,63,99,0.7940404,0.99,0.3832264,0.14686246,0.0,1.0,0.95,0.99,1.0,60000,823,0
fashion_mnist,64,100,0.7973,0.99,0.37963367,0.1441217,0.0,1.0,0.955,0.99,1.0,60000,822,0
fashion_mnist,65,100,0.7983,0.985,0.37685025,0.14201611,0.0,1.0,0.955,0.99,1.0,60000,827,0
fashion_mnist,66,100,0.8,0.98,0.37264192,0.138862,0.0,1.0,0.95,0.99,1.0,60000,827,0
fashion_mnist,67,100,0.86480004,0.99,0.3066023,0.09400496,0.01,1.0,0.96500003,0.99,1.0,60000,833,0
fashion_mnist,68,100,0.9768,0.99,0.034925066,0.0012197603,0.77,1.0,0.97,0.99,1.0,60000,833,0
fashion_mnist,69,100,0.9767,0.99,0.0347291,0.0012061103,0.77,1.0,0.97,0.99,1.0,60000,837,0
fashion_mnist,70,100,0.9766,0.99,0.035163056,0.0012364404,0.77,1.0,0.975,0.99,1.0,60000,837,0
fashion_mnist,71,100,0.976,0.99,0.035213638,0.0012400004,0.77,1.0,0.97,0.99,1.0,60000,840,0
fashion_mnist,72,100,0.9757,0.99,0.03502157,0.0012265104,0.77,1.0,0.97,0.99,1.0,60000,845,0
fashion_mnist,73,100,0.976,0.99,0.036221545,0.0013120002,0.75,1.0,0.97,1.0,1.0,60000,842,0
fashion_mnist,74,100,0.9767,0.99,0.033972196,0.0011541102,0.79,1.0,0.97,1.0,1.0,60000,846,0
fashion_mnist,75,100,0.9769,0.99,0.03509117,0.0012313902,0.75,1.0,0.975,1.0,1.0,60000,840,0
fashion_mnist,76,100,0.006,0.0,0.0074833147,5.5999997e-05,0.0,0.03,0.0,0.01,0.02,60000,846,0
fashion_mnist,77,100,0.0167,0.01,0.01371532,0.00018811,0.0,0.09,0.01,0.02,0.04,60000,849,0
fashion_mnist,78,100,0.028099999,0.03,0.015792087,0.00024939,0.0,0.09,0.02,0.04,0.05499999,60000,843,0
fashion_mnist,79,100,0.0393,0.04,0.018614778,0.00034651,0.0,0.1,0.03,0.05,0.07,60000,845,0
fashion_mnist,80,100,0.0485,0.05,0.02085066,0.00043475002,0.01,0.11,0.03,0.06,0.084999986,60000,843,0
fashion_mnist,81,100,0.0588,0.06,0.022506887,0.00050656,0.01,0.13,0.04,0.07,0.09499999,60000,844,0
fashion_mnist,82,100,0.0691,0.07,0.022851478,0.00052219,0.02,0.14,0.05,0.08,0.10499999,60000,844,0
fashion_mnist,83,100,0.0769,0.08,0.02496778,0.00062339,0.02,0.16,0.065,0.09,0.11499999,60000,846,0
fashion_mnist,84,100,0.0859,0.09,0.024823176,0.00061619,0.03,0.16,0.07,0.1,0.12,60000,852,0
fashion_mnist,85,100,0.0949,0.095,0.026210494,0.00068699,0.03,0.17,0.08,0.11,0.13,60000,847,0
fashion_mnist,86,100,0.1046,0.1,0.026736492,0.00071483996,0.04,0.19,0.09,0.12,0.15,60000,858,0
fashion_mnist,87,100,0.115,0.11,0.028266588,0.000799,0.06,0.19,0.1,0.13499999,0.16,60000,854,0
fashion_mnist,88,100,0.1246,0.12,0.0322,0.00103684,0.06,0.22,0.1,0.14500001,0.18,60000,855,0
fashion_mnist,89,100,0.1346,0.13,0.035026275,0.00122684,0.07,0.23,0.11,0.16,0.20499998,60000,851,0
fashion_mnist,90,100,0.146,0.14,0.03597221,0.001294,0.08,0.24,0.114999995,0.17,0.21499999,60000,860,0
fashion_mnist,91,100,0.1563,0.16,0.03721975,0.00138531,0.08,0.24,0.125,0.18,0.225,60000,861,0
fashion_mnist,92,100,0.1639,0.16,0.039035752,0.0015237901,0.08,0.25,0.13,0.19,0.23,60000,857,0
fashion_mnist,93,100,0.1729,0.17,0.039731473,0.00157859,0.09,0.28,0.14500001,0.2,0.24,60000,851,0
fashion_mnist,94,100,0.1821,0.18,0.03935213,0.00154859,0.09,0.28,0.15,0.21,0.24,60000,853,0
fashion_mnist,95,100,0.1915,0.19,0.03925239,0.00154075,0.1,0.31,0.16,0.22,0.25,60000,856,0
fashion_mnist,96,100,0.1997,0.2,0.04107201,0.0016869099,0.11,0.31,0.17,0.23,0.27,60000,861,0
fashion_mnist,97,100,0.2073,0.21,0.041081745,0.0016877099,0.11,0.31,0.18,0.23,0.275,60000,862,0
fashion_mnist,98,100,0.2154,0.22,0.041216984,0.0016988398,0.11,0.32,0.185,0.24,0.29,60000,866,0
fashion_mnist,99,100,0.2229,0.23,0.04243336,0.00180059,0.11,0.36,0.19,0.25,0.29,60000,871,0
fashion_mnist,100,100,0.2317,0.235,0.042873185,0.00183811,0.13,0.37,0.2,0.25,0.3,60000,872,0
fashion_mnist,101,100,0.2392,0.24,0.043166652,0.00186336,0.13,0.38,0.21,0.26,0.31,60000,876,0
fashion_mnist,102,100,0.2479,0.25,0.04297197,0.0018465901,0.15,0.38,0.22,0.27,0.33,60000,882,0
fashion_mnist,103,100,0.2536,0.25,0.044125278,0.0019470402,0.15,0.38,0.225,0.28,0.33,60000,884,0
fashion_mnist,104,100,0.261,0.26,0.045110974,0.0020350001,0.15,0.39,0.23,0.29,0.33,60000,890,0
fashion_mnist,105,100,0.2682,0.27,0.045285318,0.00205076,0.17,0.39,0.24,0.3,0.33999997,60000,894,0
fashion_mnist,106,100,0.2777,0.275,0.045472078,0.00206771,0.18,0.39,0.25,0.305,0.355,60000,898,0
fashion_mnist,107,100,0.2843,0.29,0.044704698,0.00199851,0.19,0.39,0.25,0.315,0.36,60000,905,0
fashion_mnist,108,100,0.2922,0.29,0.04484596,0.0020111601,0.19,0.4,0.26,0.33,0.365,60000,907,0
fashion_mnist,109,100,0.3,0.3,0.04427189,0.0019600003,0.2,0.41,0.26,0.33,0.37,60000,913,0
fashion_mnist,110,100,0.3061,0.31,0.04630108,0.00214379,0.2,0.42,0.27,0.35,0.375,60000,910,0
fashion_mnist,111,100,0.3121,0.31,0.04543776,0.00206459,0.2,0.42,0.275,0.35,0.385,60000,912,0
fashion_mnist,112,100,0.3203,0.32,0.04522068,0.00204491,0.21,0.43,0.28,0.36,0.39,60000,911,0
fashion_mnist,113,100,0.3284,0.325,0.04484908,0.00201144,0.24,0.44,0.29,0.365,0.405,60000,916,0
fashion_mnist,114,100,0.3361,0.335,0.04571422,0.0020897898,0.24,0.44,0.3,0.365,0.42,60000,912,0
fashion_mnist,115,100,0.3427,0.34,0.04717743,0.0022257098,0.24,0.45,0.31,0.37,0.42499998,60000,912,0
fashion_mnist,116,100,0.3479,0.35,0.04756669,0.00226259,0.25,0.46,0.31,0.38,0.43,60000,915,0
fashion_mnist,117,100,0.354,0.35,0.04783304,0.0022879997,0.25,0.47,0.32,0.385,0.44,60000,913,0
fashion_mnist,118,100,0.3608,0.36,0.049207315,0.0024213598,0.25,0.47,0.32,0.39499998,0.45,60000,917,0
fashion_mnist,119,100,0.3665,0.36,0.049987495,0.0024987499,0.25,0.48,0.33,0.4,0.46,60000,922,0
